name,Production rate in barrels per day (Pi),Processing time in days(ti),release_date,Due date/end date(Di)
well 1,42,2,12-01-2023,1
well 2,29,1,12-01-2023,4
well 3,46,4,12-01-2023,4
well 4,43,2,16-01-2023,4
well 5,48,4,12-01-2023,3
well 6,11,5,12-01-2023,1
well 7,36,3,12-01-2023,3
well 8,49,2,12-01-2023,5
well 9,24,4,12-01-2023,2
well 10,41,1,14-01-2023,4
well 11,47,1,12-01-2023,2
well 12,31,1,12-01-2023,5
well 13,31,3,12-01-2023,3
well 14,11,5,12-01-2023,1
well 15,36,3,12-01-2023,4
well 16,17,3,20-01-2023,5
well 17,20,2,12-01-2023,3
well 18,26,5,12-01-2023,3
well 19,43,3,12-01-2023,1
well 20,28,4,12-01-2023,4
well 21,21,2,12-01-2023,3
well 22,50,2,12-01-2023,2
well 23,46,2,12-01-2023,1
well 24,35,1,12-01-2023,2
well 25,49,5,12-01-2023,1
well 26,26,4,12-01-2023,4
well 27,28,5,12-01-2023,2
well 28,28,1,12-01-2023,3
well 29,27,3,12-01-2023,5
well 30,20,2,12-01-2023,2
well 31,11,1,12-01-2023,5
well 32,23,3,12-01-2023,1
well 33,45,2,12-01-2023,2
well 34,46,2,12-01-2023,4
well 35,45,1,12-01-2023,2
well 36,47,5,12-01-2023,4
well 37,20,5,12-01-2023,3
well 38,14,1,21-01-2023,1
well 39,36,2,12-01-2023,3
well 40,17,1,12-01-2023,3
well 41,36,1,12-01-2023,4
well 42,41,1,12-01-2023,4
well 43,50,3,12-01-2023,5
well 44,21,2,12-01-2023,4
well 45,32,4,12-01-2023,3
well 46,50,4,16-01-2023,3
well 47,27,1,12-01-2023,1
well 48,43,4,12-01-2023,1
well 49,32,5,17-01-2023,3
well 50,20,4,12-01-2023,5
well 51,21,2,12-01-2023,5
well 52,34,2,12-01-2023,1
well 53,25,2,12-01-2023,4
well 54,17,5,12-01-2023,3
well 55,10,2,12-01-2023,1
well 56,40,3,13-01-2023,4
well 57,37,4,12-01-2023,3
well 58,37,3,12-01-2023,4
well 59,26,4,12-01-2023,5
well 60,21,4,14-01-2023,2
well 61,11,3,12-01-2023,5
well 62,18,5,12-01-2023,2
well 63,12,2,12-01-2023,5
well 64,12,1,12-01-2023,4
well 65,39,2,12-01-2023,1
well 66,37,3,12-01-2023,5
well 67,41,3,12-01-2023,4
well 68,15,2,12-01-2023,3
well 69,40,4,12-01-2023,4
well 70,50,1,12-01-2023,3
well 71,28,1,12-01-2023,4
well 72,23,2,12-01-2023,1
well 73,43,5,12-01-2023,2
well 74,38,4,12-01-2023,4
well 75,18,2,12-01-2023,1
well 76,24,5,12-01-2023,2
well 77,15,3,12-01-2023,4
well 78,42,5,12-01-2023,5
well 79,20,3,12-01-2023,1
well 80,39,1,12-01-2023,1
well 81,27,1,12-01-2023,1
well 82,27,4,12-01-2023,2
well 83,42,1,12-01-2023,2
well 84,30,1,12-01-2023,4
well 85,42,3,12-01-2023,3
well 86,30,3,12-01-2023,3
well 87,32,4,12-01-2023,4
well 88,34,5,12-01-2023,3
well 89,37,4,12-01-2023,3
well 90,38,3,12-01-2023,1
well 91,34,1,12-01-2023,3
well 92,42,4,12-01-2023,1
well 93,33,5,12-01-2023,3
well 94,34,1,12-01-2023,5
well 95,26,2,12-01-2023,5
well 96,22,4,12-01-2023,1
well 97,23,1,12-01-2023,1
well 98,43,1,12-01-2023,5
well 99,22,3,12-01-2023,2
well 100,15,3,12-01-2023,1
