name,Production rate in barrels per day (Pi),Processing time in days(ti),release_date,Due date/end date(Di)
well 1,45,4,12-01-2023,1
well 2,42,3,12-01-2023,4
well 3,40,1,14-01-2023,2
well 4,27,2,12-01-2023,5
well 5,13,4,12-01-2023,3
well 6,31,5,12-01-2023,4
well 7,23,2,15-01-2023,4
well 8,46,5,12-01-2023,5
well 9,36,1,12-01-2023,2
well 10,26,3,12-01-2023,5
well 11,13,1,12-01-2023,5
well 12,10,4,12-01-2023,4
well 13,20,3,12-01-2023,4
well 14,25,2,13-01-2023,1
well 15,38,4,12-01-2023,5
well 16,29,2,12-01-2023,2
well 17,45,4,12-01-2023,5
well 18,13,3,12-01-2023,2
well 19,42,4,12-01-2023,4
well 20,50,2,12-01-2023,3
well 21,34,1,12-01-2023,3
well 22,38,5,12-01-2023,4
well 23,25,5,12-01-2023,5
well 24,13,1,12-01-2023,4
well 25,36,2,12-01-2023,4
